normalized_form	reading	japanese_text	english_text
今日は	コンニチハ	こんにちは。	Hi.
誰	ダレ	誰？	Who?
走る	ハシル	走れ。	Run.
わ	ワ	わぉ！	Wow!
ワォ	ワォ	ワォ！	Wow!
ヤッホー	ヤッホー	やっほー。	Hi.
もしもし	モシモシ	もしもし。	Hi.
おお	オー	おー！	Wow!
凄い	スゴイ	すごい！	Wow!
て	テ	走って！	Run.
頭	アタマ	頭痛い。	My head aches.
を	ヲ	彼を見た。	I saw him.
下げる	サゲル	頭を下げろ！	Duck!
呉れる	クレル	水をくれ。	Pass me the water.
飛ぶ	トブ	跳べ！	Jump!
為る	シ	出発した。	I left.
ジャンプ	ジャンプ	ジャンプして！	Jump.
火事	カジ	火事！	Fire!
飛び下りる	トビオリル	飛び降りろ！	Jump!
だ	ダ	本だ。	It's a book.
飛び越える	トビコエロ	飛び越えろ！	Jump!
飛び跳ねる	トビハネ	飛び跳ねて！	Jump.
撃つ	ウツ	撃て！	Fire!
隠れる	カクレル	隠れろ。	Hide.
伏せる	フセル	伏せて！	Duck!
やめる	ヤメロ	やめろ！	Stop!
待つ	マツ	待って！	Wait!
で	デ	跳んで。	Jump.
てる	テロ	どいてろ。	Stay away.
よ	ヨ	私よ！	It's me!
止まる	トマル	止まれ！	Stop!
進める	ススメル	進め。	Go on.
続ける	ツヅケル	続けて。	Go on.
齧る	カジッ	かじった。	I bit.
た	タ	やめた。	I quit.
です	デス	元気です。	I'm OK.
そう	ソウ	そっか。	I see.
か	カ	そっか。	I see.
ます	マシ	払いました。	I paid.
急ぐ	イソグ	急げ！	Hurry!
成る程	ナルホド	なるほど。	I see.
やあ	ヤア	やあ！	Hello.
噛み付く	カミツク	噛みついた。	I bit.
見る	ミル	やってみる。	I try.
遣る	ヤル	やった。	I did it.
の	ノ	変なの！	It's funny.
ね	ネ	安いね。	It's cheap.
た	ダ	噛んだ。	I bit.
噛む	カム	噛んだ。	I bit.
仕舞う	シマウ	しまった！	Oh no!
ああ	アア	ああ恐い！	How awful!
